timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680851670373,257,Login,404,Not Found,Thread Group 1-19,text,false,,767,536,27,27,https://www.pickaboo.com/rest/default/V1/integration/mobile/token,251,0,184
1680851670261,369,Login,404,Not Found,Thread Group 1-16,text,false,,767,536,27,27,https://www.pickaboo.com/rest/default/V1/integration/mobile/token,363,0,292
1680851670095,535,Login,404,Not Found,Thread Group 1-11,text,false,,767,536,27,27,https://www.pickaboo.com/rest/default/V1/integration/mobile/token,528,0,456
1680851669863,767,Login,404,Not Found,Thread Group 1-1,text,false,,767,536,27,27,https://www.pickaboo.com/rest/default/V1/integration/mobile/token,762,0,693
1680851670227,403,Login,404,Not Found,Thread Group 1-15,text,false,,767,536,27,27,https://www.pickaboo.com/rest/default/V1/integration/mobile/token,398,0,333
1680851670638,55,Search,404,Not Found,Thread Group 1-19,text,false,,767,631,29,29,https://www.pickaboo.com/rest/V1/allslides?searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bcondition_type%5D=eq&searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bfield%5D=alias&searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bvalue%5D=Service+Slider,55,0,0
1680851670694,61,Electronics,200,OK,Thread Group 1-19,text,true,,12679,497,30,30,https://www.pickaboo.com/_next/data/adw2asd671653bd3e09ec217bc0bed31sasha2jja4nsd1ed6Stable-v7.8/product-detail/sharp-r-32a0-sm-v-microwave-oven.json?slug=sharp-r-32a0-sm-v-microwave-oven,61,0,0
1680851670634,184,Search,200,OK,Thread Group 1-1,text,true,,6290,631,30,30,https://www.pickaboo.com/rest/V1/allslides?searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bcondition_type%5D=eq&searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bfield%5D=alias&searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bvalue%5D=Service+Slider,183,0,0
1680851670634,201,Search,200,OK,Thread Group 1-16,text,true,,6290,631,30,30,https://www.pickaboo.com/rest/V1/allslides?searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bcondition_type%5D=eq&searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bfield%5D=alias&searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bvalue%5D=Service+Slider,201,0,0
1680851670634,205,Search,200,OK,Thread Group 1-15,text,true,,6290,631,30,30,https://www.pickaboo.com/rest/V1/allslides?searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bcondition_type%5D=eq&searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bfield%5D=alias&searchCriteria%5Bfilter_groups%5D%5B0%5D%5Bfilters%5D%5B0%5D%5Bvalue%5D=Service+Slider,205,0,0
1680851670820,62,Electronics,200,OK,Thread Group 1-1,text,true,,12679,543,30,30,https://www.pickaboo.com/_next/data/adw2asd671653bd3e09ec217bc0bed31sasha2jja4nsd1ed6Stable-v7.8/product-detail/sharp-r-32a0-sm-v-microwave-oven.json?slug=sharp-r-32a0-sm-v-microwave-oven,62,0,0
1680851670840,76,Electronics,200,OK,Thread Group 1-15,text,true,,12679,543,30,30,https://www.pickaboo.com/_next/data/adw2asd671653bd3e09ec217bc0bed31sasha2jja4nsd1ed6Stable-v7.8/product-detail/sharp-r-32a0-sm-v-microwave-oven.json?slug=sharp-r-32a0-sm-v-microwave-oven,76,0,0
1680851670836,211,Electronics,200,OK,Thread Group 1-16,text,true,,12679,543,30,30,https://www.pickaboo.com/_next/data/adw2asd671653bd3e09ec217bc0bed31sasha2jja4nsd1ed6Stable-v7.8/product-detail/sharp-r-32a0-sm-v-microwave-oven.json?slug=sharp-r-32a0-sm-v-microwave-oven,211,0,0
